drug_name,gene_name
PROTEASOME INHIBITOR,HIF1A
PROMAZINE,ADRA1D
CHEMBL:CHEMBL1329443,ATM
SEIMATOPOLIDE A,PPARG
LICOAGRODIN,PTPN1
CATUMAXOMAB,EPCAM
BUPRANOLOL,ADRB2
CHEMBL:CHEMBL588038,SMAD3
DOCETAXEL ANHYDROUS,PIK3CA
ISOETHARINE MESYLATE,ADRB2
AICA RIBONUCLEOTIDE,CASP3
ZILTIVEKIMAB,IL6
PERMETHRIN,NR1I2
APOMORPHINE,TP53
CHEMBL:CHEMBL609606,NFE2L2
CARBOPLATIN,GSTP1
CHEMBL:CHEMBL336095,HIF1A
VINCRISTINE,PIK3CA
PHENYTOIN SODIUM,VEGFA
PENTOSAN POLYSULFATE SODIUM,MMP1
PAN-AKT INHIBITOR ARQ751,PIK3CA
RITUXIMAB,PIK3CA
CLOZAPINE,GSTM1
RECOMBINANT CD40-LIGAND,CD40
INFLIXIMAB-DYYB,TNF
TROGLITAZONE,PPARG
DESERPIDINE,ACE
AJMALICINE,ADRA1D
OLODATEROL HYDROCHLORIDE,ADRB2
PF-04691502,PIK3CB
TESAGLITAZAR,PPARG
BARDOXOLONE METHYL,PPARG
ERITORAN TETRASODIUM,TLR4
BINTRAFUSP ALFA,TGFB1
BEMARITUZUMAB,FGFR2
CTS-1027,MMP12
COPANLISIB,PIK3CD
AVX-470,TNF
COPANLISIB,PIK3CB
OXYPHENBUTAZONE,NFE2L2
DICUMAROL,NFE2L2
EUCALYPTIN A,MET
TRIDECAN-1-OL,NFE2L2
